127.0.0.1 - - [09/Dec/2016:07:29:44 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [09/Dec/2016:07:29:45 +0530] "GET /AngularJs_1/ HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [09/Dec/2016:07:32:18 +0530] "GET /AngularJs_1/ HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [09/Dec/2016:07:32:18 +0530] "GET /AngularJs_1/angular.min.js HTTP/1.1" 200 165382
0:0:0:0:0:0:0:1 - - [09/Dec/2016:07:32:45 +0530] "GET /AngularJs_1/ HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [09/Dec/2016:07:32:45 +0530] "GET /AngularJs_1/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:07:40:13 +0530] "GET /AngularJs_1/ HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [09/Dec/2016:07:40:13 +0530] "GET /AngularJs_1/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:07:40:13 +0530] "GET /AngularJs_1/myController.js HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [09/Dec/2016:07:40:25 +0530] "GET /AngularJs_1/ HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [09/Dec/2016:07:40:25 +0530] "GET /AngularJs_1/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:07:40:25 +0530] "GET /AngularJs_1/myController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:07:40:44 +0530] "GET /AngularJs_1/ HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [09/Dec/2016:07:40:44 +0530] "GET /AngularJs_1/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2016:07:40:44 +0530] "GET /AngularJs_1/myController.js HTTP/1.1" 304 -
